DPI,A,B,C,P1 and P2,O
0,0,0,0,0,0
7,610000,750,5.9,7000,1.30E+07
13,2.65E+08,3.95E+07,1950000,3.90E+07,5.03E+07
14,1.90E+08,1.20E+08,3215000,5.50E+07,2.06E+07
16,3.45E+07,6.40E+07,1.65E+07,2.55E+07,1.26E+07
21,5450000,2.45E+07,4250000,5100000,3757500
28,3250000,2200000,1250000,1850000,
35,624500,849416.7,1577583.4,1083750,2072500
42,525500,520916.66,40875,745000,
45,,,,,
49,,,,,3475000
56,386500,259500,158908.33,588833.3,
63,,,,,1820000
70,600000,412500,263333.33,266666.67,1583333
77,,,,,8558
84,743333.33,455000,1015000,668333.33,2864.17
91,1126667,710833,1620000,632500,1061.92
98,12942,12528,5802,4788,248
105,967.83,1573,2490,1746,99.9
112,146.8,466.4,223.925,0,298.7
119,95.8,163.9,21.6,0,564.7
126,29.7,9.4,81.4,70,132
133,0,0,0,0,0
140,0,135.9,0,26,256.417
147,0,0,0,0,0
154,0,0,0,0,0
161,0,0,0,0,0
168,0,0,0,0,75.18
175,0,0,,,0
177,,,0,0,
182,0,60.7,,,0
184,,,0,39.72,
189,0,0,,,0
191,,,0,0,
196,,,,,0
198,0,0,0,0,
203,,,,,0
205,55.9,227.6,0,0,
210,,,,,43.058334
212,0,0,0,0,
217,,,,,0
219,0,0,0,0,
220,,0,0,,
223,,0,0,,
224,,0,0,,0
225,,0,0,,
226,0,,0,0,
227,,0,0,,
230,,0,0,,
233,0,0,0,0,0
237,,0,0,,
240,0,0,,0,0
241,,,,0,
244,,,,0,
245,,,,0,
246,,,,0,
247,0,,,0,0
248,0,,,0,
251,0,,,0,
252,0,,,,
253,0,,,,
254,0,,,,0
255,0,,,,
258,0,,,0,
261,0,,,0,0
265,0,,,0,
268,0,,,0,0
272,,,,0,
274,,,,,189.33333
275,,,,0,
282,,,,0,0
289,,,,0,0
295,,,,0,
296,,,,,0
302,,,,,0
303,,,,32.75,
309,,,,,0
310,,,,47.441666,
317,,,,0,0
323,,,,0,
324,,,,,0
330,,,,0,
331,,,,0,510
338,,,,0,0
345,,,,0,101.165
350,,,,,0
354,,,,0,
359,,,,0,0
366,,,,0,
373,,,,39.14,144.5
380,,,,14.25,0
387,,,,,0
394,,,,,0
401,,,,,0
408,,,,,0
415,,,,,0
422,,,,,37.25
429,,,,,0
436,,,,,0
443,,,,,0
450,,,,,0
457,,,,,0
464,,,,,0
471,,,,,0
478,,,,,0
485,,,,,0
492,,,,,0
499,,,,,0
506,,,,,0
513,,,,,0
520,,,,,0
527,,,,,0
534,,,,,0
541,,,,,0
548,,,,,0
555,,,,,0
562,,,,,0
569,,,,,0
576,,,,,0
583,,,,,0
590,,,,,0
597,,,,,0
604,,,,,0
611,,,,,0
618,,,,,0
625,,,,,0
632,,,,,0
639,,,,,0
646,,,,,0
653,,,,,0
660,,,,,0
667,,,,,0
674,,,,,0
681,,,,,0
688,,,,,0
695,,,,,0
702,,,,,0
709,,,,,0
716,,,,,0
723,,,,,0
730,,,,,0
737,,,,,0
744,,,,,0
751,,,,,0